candidate_id,candidate_name,java_score,dotnet_score,data_engineering_score,recommended_subject
1,Robert Burns,51,76,95,Java
2,Tyler Williams,92,20,21,.NET
3,Michael Rhodes,14,21,88,Java
4,Melanie Thomas,71,33,10,Data Engineering
5,Austin Wilson,60,9,74,.NET
6,Danielle Norton,20,64,89,Java
7,Mr. Bradley Cooper,82,64,15,Data Engineering
8,Mr. Charles Browning,86,87,28,Data Engineering
9,Jo Valdez,74,66,29,Data Engineering
10,Charles Cooper,74,94,10,Data Engineering
11,Sabrina Campbell,87,42,56,.NET
12,Mark Hamilton,99,40,64,.NET
13,Steven Swanson,23,12,5,Data Engineering
14,Michael Doyle,2,3,76,Java
15,Jason Brown,21,22,90,Java
16,Michael Huff,52,69,34,Data Engineering
17,Tracy Krause,1,33,96,Java
18,Kelli Nicholson,87,40,58,.NET
19,Robert James,29,17,13,Data Engineering
20,Samantha Miller,37,99,42,Java
21,Jeffrey Ward Jr.,1,89,45,Java
22,Christopher Hall,63,96,21,Data Engineering
23,Natalie Green,59,32,59,.NET
24,Kelsey Wheeler,20,24,84,Java
25,Christine Brown,32,51,1,Data Engineering
26,Jonathon Smith,75,16,68,.NET
27,Duane Bryant,57,50,14,Data Engineering
28,Mary Abbott,21,2,49,.NET
29,Mary Garcia,88,54,83,.NET
30,Meghan Alvarez,48,85,89,Java
31,Dalton Maddox,90,55,55,.NET
32,Michael Knox,58,34,62,.NET
33,Kristen Harris,41,67,87,Java
34,Kelly Beasley,91,58,34,Data Engineering
35,Steven Harrison,59,91,87,Java
36,Mrs. Kathleen Carpenter MD,79,58,25,Data Engineering
37,Christopher Rowe,14,12,85,.NET
38,Amy Navarro,61,61,26,Data Engineering
39,Andrew Newman,61,93,18,Data Engineering
40,Charles Jones,46,46,36,Data Engineering
41,Nicholas Underwood,61,75,35,Data Engineering
42,James Rogers,50,2,92,.NET
43,John Williams,54,20,39,.NET
44,Amber Curry,63,64,62,Data Engineering
45,Morgan Richardson,2,17,38,Java
46,Melissa Schneider,100,12,11,Data Engineering
47,Nicole Johnson,50,70,43,Data Engineering
48,Maria Sanders,6,76,79,Java
49,Timothy Cruz,20,80,47,Java
50,Grant Schneider,72,95,94,Java
51,Mr. Thomas Liu,38,92,78,Java
52,Peter Jordan,17,44,32,Java
53,Peter Love,3,61,78,Java
54,Emily Wells,88,29,31,.NET
55,Michael Gibbs,59,74,21,Data Engineering
56,Katherine Jones,13,13,5,Data Engineering
57,David King,8,52,29,Java
58,Emma Reyes,89,9,16,.NET
59,Tonya Holland,52,71,1,Data Engineering
60,Monica Hood,1,30,79,Java
61,Eric Mcpherson,83,5,54,.NET
62,John Morris,91,82,11,Data Engineering
63,Paul Anderson,59,18,11,Data Engineering
64,Austin Gordon,70,11,50,.NET
65,Kaitlin Rios,43,63,47,Java
66,Morgan Parks,7,81,38,Java
67,Tony Green,46,54,80,Java
68,Matthew Willis,34,66,69,Java
69,Stephanie Stone,77,8,89,.NET
70,Cole Clarke,80,5,0,Data Engineering
71,Laura Rodriguez,35,0,15,.NET
72,Thomas Cardenas,49,41,45,.NET
73,Pamela Clark,3,92,62,Java
74,Amanda Lee,1,54,58,Java
75,Joel Hendricks,5,48,46,Java
76,James Mcgee,53,98,15,Data Engineering
77,Jodi Baker,3,98,45,Java
78,Cheryl Collins,53,29,79,.NET
